"File : D:\USERS\NATHAN\NIST_IN-SITU_INCONEL718\P2_DUMMY\P1_A_2_REAL_LOADCELL_FINAL.CSV saved 11/22/2024 at 2:28:29 PM"
"Sample : Default"
"Span : 10.0"
"Width : 5.0"
"Thickness : 1.0"
"Start Sampletime : 500ms"
"Start Speed : 1.0mm/min"
"Gain : x1"
"Video file : "
"Scale : 20.523"
"Number of points : 127"
"Ver6.3.40"
"Tensile"
""
""
"Test duration : 63.5s"
"Max travel : 1.465mm"
"Max extension : 0.844mm"
"Comment : CT5KN tomography with 415:1 gearbox &  512 line encoder. Calibrated at 5254N. Trip set to 5000N"
"Point","Elongation","Force","Position","Code","Samplerate","Motorspeed"
.5,0,9.7698,9.972,2,500,"1.0mm/min"
1,.004,18.5885,9.975,0,500,"1.0mm/min"
1.5,.015,62.9544,9.987,0,500,"1.0mm/min"
2,.029,122.0394,10.001,2,500,"1.0mm/min"
2.5,.025,111.906,9.997,2,500,"1.0mm/min"
3,.025,108.7473,9.996,0,500,"1.0mm/min"
3.5,.025,108.8756,9.996,0,500,"1.0mm/min"
4,.018,80.6558,9.989,2,500,"1.0mm/min"
4.5,.01,49.7905,9.982,2,500,"1.0mm/min"
5,.017,68.7907,9.988,0,500,"1.0mm/min"
5.5,.027,113.798,9.999,2,500,"1.0mm/min"
6,.033,135.0109,10.005,2,500,"1.0mm/min"
6.5,.038,150.2431,10.01,0,500,"1.0mm/min"
7,.054,174.6628,10.026,2,500,"1.0mm/min"
7.5,.056,179.7937,10.027,0,500,"1.0mm/min"
8,.065,212.4708,10.037,0,500,"1.0mm/min"
8.5,.079,259.6908,10.05,2,500,"1.0mm/min"
9,.08,266.0723,10.052,0,500,"1.0mm/min"
9.5,.089,307.8246,10.06,0,500,"1.0mm/min"
10,.098,354.5956,10.07,0,500,"1.0mm/min"
10.5,.106,383.9056,10.078,2,500,"1.0mm/min"
11,.108,391.4416,10.079,0,500,"1.0mm/min"
11.5,.115,434.1239,10.087,0,500,"1.0mm/min"
12,.128,482.9473,10.099,2,500,"1.0mm/min"
